aging_penalty_gamma,lifetime_years,average_hourly_revenue_usd,npv_0pct_usd,npv_10pct_usd,npv_20pct_usd
0.0,6.510388127853881,7.017418876565261,400210.4159493934,299317.5026492252,235904.44477434643
3.75,8.75662100456621,7.00521098442145,537355.7241930006,362514.4617623533,265644.5314408773
7.5,9.708561643835617,6.91631576647595,588211.9069914802,379823.47563702957,270183.90955271234
11.25,10.87865296803653,6.681265664006984,636704.5739828736,389233.76889783214,266496.1848051614
15.0,12.353881278538813,6.331950006637635,685243.6297183249,390316.763555656,254377.69997513707
18.75,14.192123287671233,6.049372298459047,752076.1122613241,390787.0362101746,240110.07351043427
22.5,16.417123287671235,5.7537623540785425,827471.5791894515,384906.8527963984,221585.2040101778
26.25,18.988470319634704,5.519907149192926,918175.8352896022,376836.0889805596,203798.79965379759
30.0,21.793607305936074,5.294811669592818,1010843.0854653041,366145.8008963048,188348.69541675688
